"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-04","17.67",,"0.37","0.0","0.0","79","82","74","   10","   10","32.0","45.0","    1",,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-05","18.12",,"0.08","0.0","0.0","80","89","74","  310","  310","32.0","44.1",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-06","4.70",,"0.00","0.0","0.0","82","95","71","  150","  170","12.1","14.1",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-07","6.49",,"0.00","0.0","0.0","83","97","72","  190","  200","14.1","17.0",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-08","7.38",,"0.00","0.0","0.0","85","97","76","  160","  150","16.1","19.0",,,"    1",
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-09","5.82",,"0.37","0.0","0.0","84","97","76","  300","   10","21.0","27.1","    1",,"    1",
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-10","3.80",,"0.10","0.0","0.0","83","93","76","   80","  120","16.1","19.9","    1",,"    1",
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-11","6.71",,"0.00","0.0","0.0","82","92","74","  110","   30","14.1","19.0","    1","    1",,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-12","5.37",,"0.00","0.0","0.0","81","92","71","  110","   60","14.1","19.0","    1",,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-13","6.71",,"0.00","0.0","0.0","79","91","70","  110","  110","19.9","23.0","    1",,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-14","9.62",,"0.00","0.0","0.0","80","89","73","   30","   30","18.1","23.0",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-15","9.40",,"0.00","0.0","0.0","81","92","74","   90","   50","16.1","21.0",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-16","7.61",,"0.00","0.0","0.0","82","95","72","   40","   30","18.1","23.9",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-17","4.03",,"0.00","0.0","0.0","82","97","70","  170","  170","15.0","19.0",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-18","6.26",,"0.09","0.0","0.0","79","81","70","   60","   60","16.1","21.9","    1",,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-19","9.40",,"0.00","0.0","0.0","74","83","64","   40","   10","17.0","21.9",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-20","8.50",,"0.00","0.0","0.0","71","84","61","   90","   80","21.0","25.9",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-21","5.82",,"0.00","0.0","0.0","75","87","63","  120","  120","16.1","21.0","    1",,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-22","4.25",,"0.00","0.0","0.0","74","87","62","  110","  110","16.1","19.9","    1",,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-23","4.25",,"0.00","0.0","0.0","74","91","63","  170","  120","13.0","16.1","    1",,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-24","4.03",,"0.00","0.0","0.0","78","96","67","  130","  130","14.1","16.1","    1",,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-25","6.04",,"0.00","0.0","0.0","83","98","75","  130","  120","15.0","18.1",,,,
